urlid,URL,Label, Source IP, Source Port, Destination IP, Destination Port, Timestamp,Results
10.42.0.211-10.42.0.1-47717-53-17,vinoscalyptra.cl/paypal/paypal/update/com/c53b375e47339f779a68088c7d648f89/wbsccr.php?cmd=_Processing&amp;dispatchX85d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365aea49e3373cbf7bc336d49d99e495a6caea49e3373cbf7bc336d49d99e495a6c,cyber attack,10.42.0.211,55284,123.125.29.220,80,2022-09-27T20:06:25,1
172.217.3.110-10.42.0.151-443-49991-6,users1.jabry.com/service2412/login_Verify.html,cyber attack,172.217.12.130,443,10.42.0.151,33470,2022-09-27T19:59:28,1
172.217.10.110-10.42.0.151-443-44715-6,users1.jabry.com/newservice1/login_Verify.html,cyber attack,10.42.0.211,53487,203.205.191.23,80,2022-09-27T19:59:04,1
10.42.0.151-111.206.25.159-48026-80-6,users11.jabry.com/soonsite/Aol.htm,cyber attack,10.42.0.211,51342,202.77.129.54,80,2022-09-27T19:37:22,1
10.42.0.211-10.42.0.1-1472-53-17,toutsurprague.fr/ara/capitalone/capital.html,cyber attack,10.42.0.211,47632,64.71.142.124,80,2022-09-27T19:31:01,1
10.42.0.211-123.125.29.220-46081-80-6,turkishbook.com/aolupdatealert.info.htm,cyber attack,10.42.0.42,33173,172.217.9.234,443,2022-09-27T18:45:39,1
172.217.3.99-10.42.0.151-443-39237-6,sps-furnitura.ru/paypal.fr/,cyber attack,10.42.0.151,40261,172.217.10.80,443,2022-09-27T18:12:06,1
180.149.134.141-10.42.0.211-80-57695-6,paypal.com.info.e44.fdw.hhey5.gre4h.agtyjt.asgeqf.brtjt.acwgrjt6.sgehrj.shery4e.gjy6k6.sgey34.berhrtkjt.afweh.sey54ui.sgeh.bondessert.com/update/Thanks.php,cyber attack,10.42.0.42,36804,192.229.163.180,443,2022-09-27T18:10:07,1
10.42.0.42-104.254.66.16-49939-80-6,paypal.com.d6saf46da5s4f.hg6df514g65df4h53dfh.fd1h6thd5341g6wre1g23sdg.h16h3sd1gf6we54gh65s1dfgh6rehg1sdfh16rh13fs1dh65.1h6e1rhgsd54f651gh6we5f1eswd6g553sg.h16wesr1dg3s1d6g5ew1g.sh1we61hg3sd54f6we15g65s1dg.weq6g6sd5g41s.tecsystem.com.mx/?cmd=_home&amp;,cyber attack,23.206.166.66,80,10.42.0.211,51751,2022-09-27T18:06:28,1
174.35.73.110-10.42.0.211-80-47715-6,osteopatiaedor.com/wp-content/themes/twentyeleven/paypal.com/,cyber attack,10.42.0.211,47856,203.205.158.60,80,2022-09-27T18:05:27,1
183.79.17.108-10.42.0.151-443-60432-6,pa.by/templates/promart/images/home/login.html,cyber attack,10.42.0.211,38184,162.208.20.184,443,2022-09-27T18:02:54,1
10.42.0.151-10.42.0.1-2381-53-17,nezar-mihoub.com/c/yahoo.html,cyber attack,10.42.0.211,45484,202.77.129.150,80,2022-09-27T17:58:15,1
171.84.4.11-10.42.0.211-80-48070-6,mobilemoneyavalanche.com/administrator/index/wellsfargo.com/wellsfargo/login.php?id,cyber attack,10.42.0.211,58297,58.63.236.212,443,2022-09-27T17:55:26,1
10.42.0.151-10.42.0.1-61587-53-17,heta.lunariffic.com/suspend.page/?bWVkaXJlaW0ubmV0uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NjE2OTk0Ng,cyber attack,72.21.207.79,443,10.42.0.42,52396,2022-09-27T17:52:47,1
10.42.0.211-10.42.0.1-56168-53-17,medireim.net/x1yZ2scDe/webscr_prim.php?bWVkaXJlaW0ubmV0uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NjE2OTk0Ng,cyber attack,31.13.80.5,443,10.42.0.151,42703,2022-09-27T17:47:36,1
10.42.0.211-123.151.79.150-33677-80-6,heta.lunariffic.com/suspend.page/?bWVkaXJlaW0ubmV0uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NjE2OTg1OA=,cyber attack,10.42.0.151,44157,27.221.30.26,443,2022-09-27T17:44:07,1
10.42.0.211-119.146.74.33-53733-443-6,medireim.net/x1yZ2scDe/webscr_prim.php?bWVkaXJlaW0ubmV0uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NjE2OTg1OA=,cyber attack,10.42.0.42,54784,23.194.140.226,80,2022-09-27T17:40:05,1
10.42.0.211-10.42.0.1-15450-53-17,medireim.net/x1yZ2scDe/webscr_prim.php?bWVkaXJlaW0ubmV0uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NjE2OTg3OA=,cyber attack,10.42.0.151,44467,106.39.169.66,80,2022-09-27T17:35:08,1
202.77.129.146-10.42.0.42-80-54018-6,junkiesth.com/uploads/images/libertyreserve/login/en/account/profile/signon.php?cmd=_login-run&dispatchX85d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5d663793c69d90b942efe1797cba94a05d663793c69d90b942efe1797cba94a05,cyber attack,10.42.0.42,49012,52.21.202.167,443,2022-09-27T17:20:13,1
10.42.0.42-13.228.179.78-44947-80-6,horsetreats.com/.service.e.paypal.com/us/cgi-bin/webscr.htm?cmd=_login-run,cyber attack,10.42.0.211,61809,10.42.0.1,53,2022-09-27T17:07:22,1
10.42.0.151-36.110.213.49-37844-80-6,hatyaiok.com/blog/wp-content/uploads/2012/03/aol.com.htm,cyber attack,172.217.9.234,443,10.42.0.211,45997,2022-09-27T16:58:58,1
172.217.6.234-10.42.0.42-443-44908-6,ellatirdelasnoticias.com.mx/anz/anz.html,cyber attack,10.42.0.151,59609,216.58.217.100,443,2022-09-27T16:54:22,1
172.217.9.227-10.42.0.42-443-50715-6,freegames.wip.co.il/,cyber attack,10.42.0.151,47070,10.42.0.1,53,2022-09-27T16:37:19,1
192.229.173.173-10.42.0.151-80-44109-6,users.atw.hu/l33t/,cyber attack,10.42.0.151,45936,64.71.142.120,80,2022-09-27T16:29:30,1
172.217.10.234-10.42.0.151-443-48037-6,brandonbrubaker.com/wp-content/plugins/Bureau/paypal/index.html,cyber attack,10.42.0.211,54159,10.42.0.1,53,2022-09-27T16:24:03,1
222.73.28.96-10.42.0.211-80-38318-6,www.brandonbrubaker.com/wp-content/plugins/Bureau/paypal/index.html/,cyber attack,10.42.0.151,52823,10.42.0.1,53,2022-09-27T16:12:28,1
10.42.0.151-66.198.24.253-38648-443-6,www.dekortynk.pl/administrator/templates/khepri/images/,cyber attack,10.42.0.211,52568,106.39.162.36,80,2022-09-27T16:03:49,1
10.42.0.211-119.146.74.34-47827-80-6,81c0abd1.seriousdeals.net/,cyber attack,10.42.0.42,48264,62.138.0.117,80,2022-09-27T16:01:04,1
10.42.0.151-10.42.0.1-47882-53-17,lnk.co/ryi54y34,cyber attack,10.42.0.42,50381,183.79.17.104,443,2022-09-27T15:54:07,1
202.77.129.54-10.42.0.42-80-45065-6,lnk.co/u56iu56,cyber attack,10.42.0.42,64505,10.42.0.1,53,2022-09-27T15:47:29,1
205.185.216.42-10.42.0.151-80-53356-6,lnk.co/56u67ui,cyber attack,10.42.0.42,57653,180.163.255.159,80,2022-09-27T15:42:48,1
203.205.144.183-10.42.0.151-80-47893-6,lnk.co/gtui54,cyber attack,10.42.0.211,49292,72.21.206.140,443,2022-09-27T15:32:57,1
172.217.12.136-10.42.0.151-443-36812-6,0358e9c.netsolhost.com/?check=8ivTVMAcMkheQpTLVrD8L0.html,cyber attack,10.42.0.211,58273,174.35.73.77,80,2022-09-27T15:26:17,1
10.42.0.211-104.88.89.135-49566-443-6,0358e9c.netsolhost.com/?check=i5tifReb0HY7kwK5osV49JDqZ5NcTVjWxbM5eg9w.html,cyber attack,10.42.0.42,47379,162.208.22.39,443,2022-09-27T15:12:56,1
10.42.0.211-98.139.199.204-55548-443-6,0358e9c.netsolhost.com/?check=bOjq6MTIfvRHgw17fF6q9vHIAtB0KycHk3VZxS1LItIWMrZ.html,cyber attack,10.42.0.211,58109,104.244.42.193,80,2022-09-27T14:55:57,1
10.42.0.1-10.42.0.42-53-40866-17,www.alliance-stroi.ru/administrator/templates/khepri/images/plugins.php,cyber attack,10.42.0.211,34676,172.217.12.174,443,2022-09-27T14:53:01,1
10.42.0.211-66.198.178.50-45338-443-6,gopsnow.com/dothroughput/service.paypal1971_id.limited/us/cgi-bin/done.html?cmd=_login-run,cyber attack,10.42.0.211,33457,10.42.0.1,53,2022-09-27T14:51:25,1
198.11.132.178-10.42.0.151-443-33874-6,'static.wix.com/client/app.swf?cacheKiller=v\%3D821&amp;max-age=172800',cyber attack,10.42.0.211,18662,10.42.0.1,53,2022-09-27T14:49:09,1
172.217.12.206-10.42.0.211-443-53760-6,photogrammetry.ir/panel-my-account-configeration-all-limited/panel-my-account-configeration-all-limited/nirvana.php?cmd=_login-run&dispatch=30f6f2b7bae571354ebcf7eefe0596e330f6f2b7bae571354ebcf7eefe0596e3,cyber attack,54.239.17.113,443,10.42.0.211,36143,2022-09-27T13:57:55,1
216.58.219.234-10.42.0.151-443-42488-6,cjshairsalon.com/wp-includes/images/wlw/index.php,cyber attack,10.42.0.151,35454,72.21.207.148,443,2022-09-27T13:49:07,1
172.217.10.46-10.42.0.151-443-41156-6,10bestvacationspots.net/Paypal_Virefication/,cyber attack,10.42.0.211,50475,192.229.173.173,80,2022-09-27T13:17:40,1
172.217.6.202-10.42.0.151-443-58284-6,www.buyorsellcars.info/wp-content/uploads/2012/06/service.htm,cyber attack,10.42.0.151,46549,10.42.0.1,53,2022-09-27T13:14:55,1
10.42.0.211-31.13.71.1-43599-443-6,www.rcbl.ca/teampics/premiado/cadastrar.html?b2c/vgn/v/index.jsp?vgnextoid=97981ed526b72210VgnVCM1000003752070aRCRD,cyber attack,10.42.0.211,26706,10.42.0.1,53,2022-09-27T12:55:31,1
172.217.10.106-10.42.0.151-443-33034-6,upgrade.federacaodetiroecaca.org/gtbank.com/login2.html,cyber attack,10.42.0.151,55129,14.17.42.57,80,2022-09-27T12:53:42,1
10.42.0.211-69.147.64.34-46380-443-6,svatebcan.cz/admin-styles/calendar/calendar/p/o/s/t/e/ppy_n/clejan/,cyber attack,10.42.0.211,39272,10.42.0.1,53,2022-09-27T12:32:21,1
172.217.12.174-10.42.0.151-443-40409-6,travelassistance.in/pay/de/Aktualisierung/?update-infos?email=mattybrandt@aol.com,cyber attack,10.42.0.151,33171,172.217.10.238,443,2022-09-27T11:57:38,1
172.217.7.2-10.42.0.211-443-48580-6,mahadmanpower.com/panel-my-account-configeration-all-limited/panel-my-account-configeration-all-limited/nirvana.php?cmd=_login-run,cyber attack,10.42.0.151,62834,10.42.0.1,53,2022-09-27T10:44:58,1
172.217.10.38-10.42.0.211-443-48115-6,pepinos-peru.com/dare/login_verify2.htm,cyber attack,10.42.0.211,50604,104.93.172.160,443,2022-09-27T06:32:29,1
180.163.251.231-10.42.0.211-80-38109-6,persianz.co.nz/images/stories/aol/update.html,cyber attack,10.42.0.42,45771,104.192.110.245,80,2022-09-27T05:54:42,1
8.0.6.4-8.6.0.1-0-0-0,nilop.edu.pk/webscr.php,cyber attack,52.84.29.154,443,10.42.0.211,55859,2022-09-27T05:44:02,1
202.77.129.150-10.42.0.211-80-37141-6,neribos.de/serviceLoginGmail.html,cyber attack,10.42.0.42,37083,172.217.10.138,443,2022-09-27T05:36:33,1
172.217.6.238-10.42.0.211-443-37686-6,myopsource.com/~opsource/includes/js/Inc/alert.fr/Langue&amp;id=FR-fr/c0aeae66fdbfb2119927117e3a6765c403f4977abcf/cmd=_login-submit&amp;dispatch=5885d80a13c0db1fb6947/info_updating/paypal/,cyber attack,10.42.0.211,48871,172.217.10.106,443,2022-09-27T05:18:10,1
216.58.218.228-10.42.0.211-80-36253-6,easynote.co.kr/letsmall/wanachi/zmbs03.wananchi.com/index.html,cyber attack,10.42.0.151,60882,64.71.142.96,443,2022-09-27T05:16:56,1
192.229.173.173-10.42.0.151-80-59838-6,mrd.gov.kh/images/stories/paypal.us/paypal.us/webscr.php,cyber attack,104.88.106.16,80,10.42.0.211,45648,2022-09-27T04:34:09,1
172.217.10.138-10.42.0.151-443-36166-6,islander.it/img/.New/Deutsh/Kontoinformationen.php,cyber attack,10.42.0.42,37421,66.198.24.243,80,2022-09-27T04:04:38,1
172.217.9.227-10.42.0.151-443-34575-6,kiev-elektro.ru/wp-includes/js/remax/index.htm,cyber attack,10.42.0.211,37445,172.217.12.194,443,2022-09-27T04:02:51,1
172.217.3.110-10.42.0.151-443-39780-6,www.cynosura.org/danois/archervbv/OpretdinkodetilVerifiedbyVisaellerMasterCardSecureCode.html,cyber attack,10.42.0.211,52998,219.142.78.162,80,2022-09-27T04:01:32,1
10.42.0.1-10.42.0.42-53-12452-17,ipa.or.id/convex/login.php,cyber attack,10.42.0.42,50634,172.217.10.131,443,2022-09-27T03:58:24,1
202.77.129.230-10.42.0.211-80-50642-6,www.in3h.com/panel-my-account-configeration-all-limited/panel-my-account-configeration-all-limited/nirvana.php?cmd=_login-run&amp;dispatch=c69d8cfe7d649b9c189a67404a994326c69d8cfe7d649b9c189a67404a994326,cyber attack,10.42.0.211,44057,10.42.0.1,53,2022-09-27T03:52:39,1
182.22.25.252-10.42.0.211-443-57336-6,'www.mandielousier.com/Remax/Secure\%20Login.html',cyber attack,10.42.0.151,53299,172.217.12.206,443,2022-09-27T03:41:28,1
10.42.0.151-10.42.0.1-7018-53-17,fun-dive.com/gps/?check=1i56456650.html,cyber attack,10.42.0.211,46699,23.192.76.180,443,2022-09-27T03:33:57,1
10.42.0.211-23.206.166.62-34846-80-6,hadinhduc.com/PayPal/,cyber attack,10.42.0.211,24067,10.42.0.1,53,2022-09-27T03:18:22,1
172.217.10.46-10.42.0.151-443-36861-6,fun-dive.com/gps/?check=1i20594057.html,cyber attack,10.42.0.42,13944,10.42.0.1,53,2022-09-27T03:14:49,1
10.42.0.211-106.11.15.99-49706-443-6,fun-dive.com/gps/?check=1i43550227.html,cyber attack,10.42.0.211,52484,182.22.24.252,443,2022-09-27T03:12:31,1
10.42.0.211-10.42.0.1-23785-53-17,fiches-kine.net/wp-admin/Login/Langue&amp;id=FR-fr/c0aeae66fdbfb2119927117e3a6765c403f4977abcf/cmd=_login-submit&amp;dispatch=5885d80a13c0db1fb6947/info_updating/paypal/,cyber attack,10.42.0.211,55916,174.36.210.41,5222,2022-09-27T03:03:24,1
10.42.0.211-10.42.0.1-14200-53-17,ffwdbmx.com/hai8/index.html,cyber attack,10.42.0.151,37942,172.217.10.238,443,2022-09-27T02:57:56,1
10.42.0.211-104.107.53.36-51899-443-6,www.esthetique-dentaire.com/images/galerie/vign/paypal_com_au/Confirm.htm,cyber attack,10.42.0.151,48353,172.217.12.202,443,2022-09-27T02:50:50,1
172.217.10.106-10.42.0.211-443-41206-6,fun-dive.com/gps/?check=1i82634214.html,cyber attack,10.42.0.151,43570,104.88.88.137,80,2022-09-27T02:48:53,1
10.42.0.211-10.42.0.1-12152-53-17,fun-dive.com/gps/?check=1i48808130.html,cyber attack,10.42.0.42,47336,23.217.155.120,80,2022-09-27T02:45:44,1
183.79.248.124-10.42.0.211-443-40433-6,fun-dive.com/gps/?check=1i96280530.html,cyber attack,216.58.219.226,443,10.42.0.151,45897,2022-09-27T02:43:15,1
10.42.0.151-35.185.15.58-57484-443-6,fun-dive.com/gps/?check=1i60305580.html,cyber attack,10.42.0.211,33996,172.217.12.142,443,2022-09-27T02:42:49,1
10.42.0.151-52.40.231.132-39385-443-6,fun-dive.com/gps/?check=1i82339596.html,cyber attack,10.42.0.151,35911,172.217.10.99,443,2022-09-27T02:40:26,1
198.11.188.80-10.42.0.211-443-33495-6,fun-dive.com/gps/?check=1i72190783.html,cyber attack,10.42.0.211,39601,172.217.12.142,443,2022-09-27T02:40:04,1
10.42.0.1-10.42.0.42-53-61578-17,fun-dive.com/gps/?check=1i77390287.html,cyber attack,10.42.0.211,54570,54.192.38.236,443,2022-09-27T02:38:01,1
175.100.207.232-10.42.0.151-80-40407-6,fun-dive.com/gps/?check=1i71883325.html,cyber attack,203.205.158.60,80,10.42.0.42,51688,2022-09-27T02:36:11,1
140.205.230.8-10.42.0.211-80-57746-6,fun-dive.com/gps/?check=1i78075398.html,cyber attack,10.42.0.211,60067,172.217.10.66,443,2022-09-27T02:35:21,1
157.240.2.20-10.42.0.211-443-56705-6,fun-dive.com/gps/?check=1i60741388.html,cyber attack,10.42.0.211,1151,10.42.0.1,53,2022-09-27T02:33:59,1
10.42.0.211-10.42.0.1-1177-53-17,fun-dive.com/gps/?check=1i47466530.html,cyber attack,10.42.0.211,13176,10.42.0.1,53,2022-09-27T02:30:00,1
10.42.0.211-10.42.0.1-30886-53-17,fun-dive.com/gps/?check=1i89545135.html,cyber attack,10.42.0.211,33713,104.192.110.245,80,2022-09-27T02:28:26,1
217.69.133.145-10.42.0.151-443-54651-6,fun-dive.com/gps/?check=1i64571116.html,cyber attack,10.42.0.211,54237,31.13.65.1,443,2022-09-27T02:27:23,1
10.42.0.211-14.29.93.254-55374-80-6,fun-dive.com/gps/?check=1i61025948.html,cyber attack,10.42.0.151,49243,40.122.162.208,443,2022-09-27T02:26:33,1
10.42.0.211-64.71.142.124-38627-443-6,fun-dive.com/gps/?check=1i88968381.html,cyber attack,202.77.129.185,80,10.42.0.151,56175,2022-09-27T02:26:13,1
172.217.10.109-10.42.0.42-443-41083-6,fun-dive.com/gps/?check=1i87721015.html,cyber attack,10.42.0.211,59279,104.244.42.130,443,2022-09-27T02:26:01,1
172.217.10.238-10.42.0.211-443-47244-6,fun-dive.com/gps/?check=1i07986138.html,cyber attack,10.42.0.151,24784,10.42.0.1,53,2022-09-27T02:24:39,1
10.42.0.151-10.42.0.1-29842-53-17,fun-dive.com/gps/?check=1i15936108.html,cyber attack,10.42.0.151,32804,72.21.206.121,443,2022-09-27T02:22:12,1
10.42.0.211-10.42.0.1-42923-53-17,fun-dive.com/gps/?check=1i23383481.html,cyber attack,31.13.71.37,443,10.42.0.151,53081,2022-09-27T02:21:59,1
10.42.0.151-52.84.61.201-53021-443-6,fun-dive.com/gps/?check=1i12900755.html,cyber attack,10.42.0.211,25377,10.42.0.1,53,2022-09-27T02:19:47,1
10.42.0.211-10.42.0.1-11712-53-17,fun-dive.com/gps/?check=1i01381135.html,cyber attack,10.42.0.211,60642,98.139.180.180,443,2022-09-27T02:19:20,1
211.144.37.229-10.42.0.151-80-41854-6,fun-dive.com/gps/?check=1i29901056.html,cyber attack,10.42.0.211,39248,31.13.80.8,443,2022-09-27T02:18:09,1
10.42.0.211-104.192.110.245-53531-80-6,fun-dive.com/gps/?check=1i18781833.html,cyber attack,10.42.0.211,54140,172.217.7.10,443,2022-09-27T02:16:53,1
172.217.6.228-10.42.0.211-443-44716-6,fun-dive.com/gps/?check=1i40780995.html,cyber attack,172.217.7.195,443,10.42.0.151,35498,2022-09-27T02:13:57,1
172.217.12.206-10.42.0.151-443-33233-6,fun-dive.com/gps/?check=1i35707206.html,cyber attack,10.42.0.211,41438,52.88.110.117,443,2022-09-27T02:13:36,1
172.217.10.42-10.42.0.151-443-54478-6,fun-dive.com/gps/?check=1i00491541.html,cyber attack,203.205.158.62,80,10.42.0.211,40664,2022-09-27T02:10:30,1
174.35.73.108-10.42.0.42-80-34972-6,fun-dive.com/gps/?check=1i17660307.html,cyber attack,52.84.26.130,443,10.42.0.211,38043,2022-09-27T02:08:29,1
10.42.0.151-31.13.80.5-48425-443-6,fun-dive.com/gps/?check=1i27937009.html,cyber attack,157.55.130.167,40019,10.42.0.151,47986,2022-09-27T02:06:51,1
10.42.0.151-31.13.69.195-37294-443-6,economix10th.com/cy/cgi-bin/webscr.php,cyber attack,10.42.0.151,37787,31.13.80.5,443,2022-09-27T02:05:18,1
10.42.0.151-14.17.42.57-33208-80-6,dyker.us/support.paypal1971_id.limited/us/cgi-bin/webscr.htm?cmd=_login-run,cyber attack,10.42.0.211,52924,10.42.0.1,53,2022-09-27T02:04:16,1
129.146.14.98-10.42.0.151-443-58589-6,cosmeticsurgerymalaga.es/wp-admin/js/paypal/index.htm,cyber attack,10.42.0.42,33815,172.217.9.227,443,2022-09-27T02:01:59,1
10.42.0.42-52.71.229.141-60086-443-6,buy-keywords.info/~calbum/zp-core/paypal.com/us/cgi-bin/webscr.php,cyber attack,10.42.0.42,33056,47.88.66.107,443,2022-09-27T02:01:05,1
10.42.0.151-10.42.0.1-42953-53-17,paypal.com.molaly.com/paypal/en/cgi-bin/bankverifiy.php,cyber attack,199.59.148.84,443,10.42.0.151,58509,2022-09-27T01:59:34,1
10.42.0.211-10.42.0.1-58332-53-17,www.explosaodepremios.net/cadastro/promocao/index3.html,cyber attack,10.42.0.42,56239,37.1.203.158,443,2022-09-27T01:56:13,1
10.42.0.151-10.42.0.1-10842-53-17,www.meredithsaundersphotography.com//wp-content/themes/village/cache/suporter/redir.php,cyber attack,10.42.0.151,50943,36.110.210.167,80,2022-09-27T01:55:11,1
10.42.0.211-107.22.224.100-40850-443-6,auditorenergeticbucuresti.ro/language/overrides/commbank/Logon.aspx.htm,cyber attack,10.42.0.151,60363,172.217.10.238,443,2022-09-27T01:54:38,1
198.11.132.221-10.42.0.211-443-35890-6,accraflight.com/blog/wp-content/plugins/stats/install/data/paypal.fr/paypal.fr/,cyber attack,10.42.0.151,44143,172.217.11.10,443,2022-09-27T01:52:02,1
239.255.255.250-10.42.0.1-1900-52769-17,86info.ru/wp-content/upgrade/aolupdate.htm,cyber attack,180.163.251.231,80,10.42.0.211,33687,2022-09-27T01:51:58,1
174.35.73.136-10.42.0.211-80-53654-6,0358e9c.netsolhost.com/?check=WbITAEiVimGoLE39WLH9gpzeUb9JP5VHr5bV.html,cyber attack,10.42.0.211,33722,163.177.151.166,443,2022-09-27T01:50:42,1
10.42.0.42-23.208.156.9-55629-443-6,www.apulkee.org/dev/js/css/license/?9834759375873846598738459837459837486394875394759374?/PromocaoCielo,cyber attack,172.217.10.74,443,10.42.0.211,56314,2022-09-27T01:50:01,1
10.42.0.1-10.42.0.42-53-23483-17,fr34343.7uw.net/feedback/feedback.html,cyber attack,10.42.0.211,56321,103.235.46.211,443,2022-09-27T01:44:51,1
10.42.0.211-111.221.77.148-40071-40010-6,www.paypal.com.uk.login.cgi-bin.quimeraviajes.com/loggining.html,cyber attack,10.42.0.151,51937,10.42.0.1,53,2022-09-27T01:44:01,1
10.42.0.211-10.42.0.1-26886-53-17,rikhiram.in/ola/pay.htm,cyber attack,198.11.188.75,443,10.42.0.151,38414,2022-09-27T01:40:50,1
10.42.0.211-54.192.38.171-56439-443-6,valeaseaca1.com/rmd/winfo.htm?cmd_submitaccess0023044-submit=data_restore,cyber attack,10.42.0.211,45829,172.217.7.227,443,2022-09-27T01:39:14,1
172.217.6.200-10.42.0.211-443-43828-6,bulaq.az/images/AolServiceUpgrade/aolupdate.htm,cyber attack,216.58.219.195,443,10.42.0.42,59182,2022-09-27T01:37:26,1
10.42.0.211-10.42.0.1-56980-53-17,slawnipodlupa.cba.pl/old_aol.1.3country/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,cyber attack,10.42.0.211,53896,10.42.0.1,53,2022-09-27T01:36:50,1
182.22.24.252-10.42.0.211-443-52489-6,www.stadtbetriebe-ahrensburg.de/content/,cyber attack,10.42.0.211,53730,198.11.136.24,443,2022-09-27T01:34:32,1
10.42.0.151-10.42.0.1-59777-53-17,www.weldmetal.pl/piecemaker/www.nets.eu/dk-da/Pages/default.aspx/,cyber attack,10.42.0.211,34958,192.229.173.173,443,2022-09-27T01:33:59,1
180.149.136.194-10.42.0.211-443-40288-6,www.hotelior.pl/eng/mail/lang/bankPartnerRegistrationAuthenticate.aspx.htm,cyber attack,217.69.133.211,443,10.42.0.211,36806,2022-09-27T01:32:25,1
180.149.138.210-10.42.0.211-80-55593-6,hosting7154312.az.pl/kubaeu/wp-content/plugins/akismet/wells/www.wellsfargo/online.htm,cyber attack,10.42.0.42,50156,106.39.169.66,80,2022-09-27T01:28:50,1
10.42.0.211-103.235.46.39-55845-80-6,sinaem.net/,cyber attack,10.42.0.151,46403,172.217.12.206,443,2022-09-27T01:28:04,1
10.42.0.42-52.84.1.250-38640-80-6,sayhii.com/images/updates/03-01-2011/allclients/www.paypal/,cyber attack,66.231.239.124,443,10.42.0.42,47794,2022-09-27T01:28:03,1
219.142.78.162-10.42.0.211-80-54721-6,mailupgradeteam3.webs.com/,cyber attack,10.42.0.151,43397,172.217.11.14,443,2022-09-27T01:27:13,1
